branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,2,2.3247076467234398e-06,0.0183279950867676,0.0002536783358701167
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,1064,-8.770683884820064e-05,-0.6914807174792138,0.06735159817351598
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,896,-0.00014377954150403635,-1.1335579052178226,0.053779807204464736
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,218,-0.0009005359943080427,-0.29627634212734605,0.3069908814589666
daily,1,0.55,0.45,27,-0.00033855450854935977,-0.11138443331273937,0.03343465045592705
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,166,-0.0019221337001491402,-0.6323819873490671,0.22796352583586627
daily,3,0.55,0.45,28,-0.0005944676614117615,-0.19557986060446952,0.0364741641337386
daily,3,0.58,0.42,5,-4.1146293687510635e-06,-0.0013537130623190998,0.00911854103343465
daily,7,0.52,0.48,328,0.0017128595931227225,0.5635308061373757,0.5015197568389058
daily,7,0.55,0.45,328,0.0017128595931227225,0.5635308061373757,0.5015197568389058
daily,7,0.58,0.42,301,0.0010620522378627115,0.34941518625683204,0.44984802431610943
