branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,3467,-0.00031505871705829474,-2.4839229252875956,0.21410451547437848
hourly,1,0.55,0.45,206,-4.818837315372178e-05,-0.37991713394394255,0.012049720953830542
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,1937,-0.00019875969688453268,-1.5670214502376556,0.1178335870116692
hourly,2,0.55,0.45,10,1.2869038467436838e-06,0.010145949927727204,0.0006341958396752917
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,3029,-0.0002580673665831209,-2.0346031181413253,0.18480466768138
hourly,4,0.55,0.45,1,-4.5665379189169715e-06,-0.036002584952741404,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,328,-0.00034513841429661913,-0.1135505383035877,0.47720364741641336
daily,1,0.55,0.45,1,3.1993849677279026e-05,0.0105259765438248,0.00303951367781155
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,327,-0.0010393460083794619,-0.34194483675684295,0.43465045592705165
daily,3,0.55,0.45,39,0.00014556431439780726,0.04789065943687859,0.057750759878419454
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,324,-0.002027512890245072,-0.6670517408906287,0.45896656534954405
daily,7,0.55,0.45,281,-0.0013006566658513422,-0.42791604306509157,0.41033434650455924
daily,7,0.58,0.42,0,0.0,0.0,0.0
