symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,128.16749572753906,125.49915170460605,-0.02081919450626879,-2.668344022933013,2026-02-16 12:50 -0500,2026-02-16 17:50 UTC,128.16749572753906,-0.05567390907342001,-0.02081919450626879,0.014035520060882427,yahoo_latest,baseline_momentum_quantile,4.853337968872057,0.1846851258544364,-0.0759372851654313,-0.12406035188651265,0.03618965374205807,-0.015721389717087756,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:50:46 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.06970942913430243,67.52968036529681,0.06898416416093373,Short,0.3169741706749942,-0.3169741706749942,0.018819194506268788,2.4120090314779317,0.002,0.06970942913430243,0.06898416416093373,0.8620316716781325,0.6752968036529681,1.0,True,short_signal,model,True,0.0,0.0
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,279.97,282.4402385453531,0.008823225864746487,2.4702385453530837,2026-02-16 12:50 -0500,2026-02-16 17:50 UTC,279.97,-0.0274230316214868,0.008823225864746487,0.045069483350979773,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.044511968365306,0.021454623471358077,0.08871033593191058,0.07236202675540082,-0.01247822301574475,-0.016349051966244747,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4110278765800.0005,1255.0,0.044901065449010624,2026-02-11 17:50:46 UTC,True,True,True,True,True,True,True,True,30.0,16.529680365296812,20.0,16.0,82.52968036529681,82.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07249251497246657,82.52968036529681,0.7508036887006981,Long,0.22138762051729519,0.22138762051729519,0.006823225864746487,1.910298545353074,0.002,0.07249251497246657,0.7508036887006981,0.5016073774013963,0.8252968036529681,1.0,True,long_signal,model,True,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,220.77000427246094,222.260948489977,0.006753382201669211,1.4909442175160734,2026-02-16 12:50 -0500,2026-02-16 17:50 UTC,220.77000427246094,-0.02471228368675772,0.006753382201669211,0.038219048090096144,yahoo_latest,baseline_momentum_quantile,5.39712145495916,0.09661183459617845,-0.0667483659498338,9.061958079703558e-05,-0.016857830831468634,-0.014192742711651652,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:50:47 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06293133177685387,67.52968036529681,0.6993433222121345,Long,0.15339306115390935,0.15339306115390935,0.004753382201669211,1.0494042089711515,0.002,0.06293133177685387,0.6993433222121345,0.39868664442426893,0.6752968036529681,1.0,True,long_signal,model,True,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,118.44,115.1607706668744,-0.027686840029766957,-3.279229333125599,2026-02-16 12:50 -0500,2026-02-16 17:50 UTC,118.44,-0.07599313783376764,-0.027686840029766957,0.020619457774233726,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.01243284189774,0.11806375442739078,-0.024775656924540757,-0.15413723736953178,0.04919346138666769,-0.021788792219292207,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,72905713100.64,1255.0,0.044901065449010624,2026-02-11 17:50:46 UTC,True,True,True,True,True,True,True,True,12.0,16.529680365296812,20.0,16.0,64.52968036529681,64.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.09661259560800137,64.52968036529681,0.030446783610054595,Short,0.2806409601892,-0.2806409601892,0.025686840029766955,3.042349333125598,0.002,0.09661259560800137,0.030446783610054595,0.9391064327798908,0.6452968036529682,1.0,True,short_signal,model,True,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.37000274658203,113.48478658521016,0.00992065330052716,1.114783838628128,2026-02-16 12:50 -0500,2026-02-16 17:50 UTC,112.37000274658203,-0.04483554079636402,0.00992065330052716,0.06467684739741834,yahoo_latest,baseline_momentum_quantile,4.721797022362118,0.19861644723769345,-0.1550492660716668,-0.09597747395233935,-0.03853979589606249,-0.024698049532530877,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:50:47 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.10951238819378237,67.52968036529681,0.7755782285007802,Long,0.16083417648509368,0.16083417648509368,0.00792065330052716,0.890043833134961,0.002,0.10951238819378237,0.7755782285007802,0.5511564570015604,0.6752968036529681,1.0,True,long_signal,model,True,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,97.55,97.00107224309083,-0.005627142561857146,-0.5489277569091655,2026-02-16 12:50 -0500,2026-02-16 17:50 UTC,97.55,-0.03987498209049363,-0.005627142561857146,0.028620696966779338,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.279198013521672,0.6896551724137931,0.09508308314549607,0.07469435561788473,0.025766446344050897,-0.015447655758610455,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,35020450000.0,1255.0,0.044901065449010624,2026-02-11 17:50:47 UTC,True,True,True,True,True,True,True,True,6.0,16.529680365296812,20.0,16.0,58.52968036529681,58.52968036529681,3,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.06849567905727297,58.52968036529681,0.33106042563232674,Short,0.10854292748027493,-0.10854292748027493,0.0036271425618571457,0.35382775690916457,0.002,0.06849567905727297,0.33106042563232674,0.3378791487353465,0.5852968036529681,1.0,True,short_signal,model,True,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,231.10499572753906,225.26781953654168,-0.025257680703186125,-5.837176190997383,2026-02-16 12:50 -0500,2026-02-16 17:50 UTC,231.10499572753906,-0.09433877648933056,-0.025257680703186125,0.04382341508295831,yahoo_latest,baseline_momentum_quantile,5.442872134214749,0.4077571754277423,-0.05416632892164441,-0.16508307110044762,0.04363748576572479,-0.031159366600035012,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:50:47 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.13816219157228887,67.52968036529681,0.04080811879343049,Short,0.23333113221611546,-0.23333113221611546,0.023257680703186123,5.374966199542297,0.002,0.13816219157228887,0.04080811879343049,0.918383762413139,0.6752968036529681,1.0,True,short_signal,model,True,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,257.92,247.6057031376389,-0.039990294906797175,-10.314296862361118,2026-02-16 12:50 -0500,2026-02-16 17:50 UTC,257.92,-0.08991451571602588,-0.039990294906797175,0.009933925902431522,eastmoney_quote:105.ADBE,baseline_momentum_quantile,25.385535946175022,0.10976948408342481,-0.26619066956422155,-0.16781428832785572,0.07790454612752096,-0.022518564315070707,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,105876160000.0,1255.0,0.044901065449010624,2026-02-11 17:50:47 UTC,True,True,True,True,True,True,True,True,18.0,16.529680365296812,20.0,16.0,70.52968036529681,70.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0998484416184574,70.52968036529681,0.006700920753877404,Short,0.31655465718756476,-0.31655465718756476,0.03799029490679717,9.798456862361128,0.002,0.0998484416184574,0.006700920753877404,0.9865981584922452,0.7052968036529681,1.0,True,short_signal,model,True,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,337.01,346.1048549312675,0.0269868992945832,9.094854931267491,2026-02-16 12:51 -0500,2026-02-16 17:51 UTC,337.01,-0.013119907494730756,0.0269868992945832,0.06709370608389716,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.827225842933345,0.2053388090349076,0.3939980748935241,0.1373266328800462,-0.05132789177478703,-0.018090371637614625,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,164672722800.94998,1255.0,0.044901065449010624,2026-02-11 17:51:01 UTC,True,True,True,True,True,True,True,True,24.0,16.529680365296812,20.0,16.0,76.52968036529681,76.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.08021361357862791,76.52968036529681,0.9668615929666032,Long,0.36410308231760674,0.36410308231760674,0.024986899294583198,8.420834931267484,0.002,0.08021361357862791,0.9668615929666032,0.9337231859332065,0.7652968036529681,1.0,True,long_signal,model,True,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,69.44000244140625,70.64414258197735,0.017340727221131003,1.2041401405710985,2026-02-16 12:51 -0500,2026-02-16 17:51 UTC,69.44000244140625,-0.016444079510591687,0.017340727221131003,0.05112553395285369,yahoo_latest,baseline_momentum_quantile,4.240463105510594,0.0,0.17475895321249002,0.09561377833961004,-0.03118512351825009,-0.01523880254771842,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:51:01 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06756961346344538,67.52968036529681,0.8973011763484312,Long,0.2963231447439026,0.2963231447439026,0.015340727221131003,1.065260135688284,0.002,0.06756961346344538,0.8973011763484312,0.7946023526968624,0.6752968036529681,1.0,True,long_signal,model,True,,
