market,pool_key,instrument_id,name,display,symbol,snapshot_symbol,provider,status,recommended_action,alerts,current_price,predicted_price,predicted_change_pct,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_reason,expected_date_market,total_score,liquidity_score,data_quality_score,history_score,coverage_score,factor_support_count,price_source,news_score_30m,news_score_120m,news_score_1440m,news_count_30m,news_burst_zscore,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes
crypto,top3,crypto:btcusdt,Bitcoin,BTC / Bitcoin,BTC,BTCUSDT,binance,Retired,Remove,prediction_unavailable;history_too_short;missing_rate_too_high;liquidity_insufficient;risk_factor_missing;behavior_factor_missing,,,,Flat,0.0,0.0,0.0,,insufficient_inputs,-,7.0,15.0,0.0,0.0,12.0,0,error:RuntimeError,,,,,,low,False,True,nan
crypto,top3,crypto:ethusdt,Ethereum,ETH / Ethereum,ETH,ETHUSDT,binance,Retired,Remove,prediction_unavailable;history_too_short;missing_rate_too_high;liquidity_insufficient;risk_factor_missing;behavior_factor_missing,,,,Flat,0.0,0.0,0.0,,insufficient_inputs,-,7.0,15.0,0.0,0.0,12.0,0,error:RuntimeError,,,,,,low,False,True,nan
crypto,top3,crypto:solusdt,Solana,SOL / Solana,SOL,SOLUSDT,binance,Retired,Remove,prediction_unavailable;history_too_short;missing_rate_too_high;liquidity_insufficient;risk_factor_missing;behavior_factor_missing,,,,Flat,0.0,0.0,0.0,,insufficient_inputs,-,7.0,15.0,0.0,0.0,12.0,0,error:RuntimeError,,,,,,low,False,True,nan
