symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,128.13499450683594,125.45324127424448,-0.020929124341971916,-2.6817532325914613,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,128.13499450683594,-0.055784010290507745,-0.020929124341971916,0.013925761606563912,yahoo_latest,baseline_momentum_quantile,4.853084352757382,0.18489187662628168,-0.07617161264501493,-0.12428247612842247,0.03643406058329246,-0.015721467019500678,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:17:40 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.06970977189707166,67.52968036529681,0.0681068388280302,Short,0.3176186548009049,-0.3176186548009049,0.018929124341971915,2.4254832435777858,0.002,0.06970977189707166,0.0681068388280302,0.8637863223439396,0.6752968036529681,1.0,True,short_signal,model,True,0.0,0.0
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,278.79,280.72873091945394,0.006954090603873642,1.938730919453917,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,278.79,-0.028797451654431823,0.006954090603873642,0.042705632862179106,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.040288324030765,0.021547080370609786,0.08423791390940694,0.0679567635864311,-0.008318962510474481,-0.016125908239669487,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4092955020600.0005,1255.0,0.044901065449010624,2026-02-11 18:17:40 UTC,True,True,True,True,True,True,True,True,30.0,16.529680365296812,20.0,16.0,82.52968036529681,82.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07150308451661093,82.52968036529681,0.704591971953808,Long,0.1817499858357732,0.1817499858357732,0.004954090603873642,1.3811509194539326,0.002,0.07150308451661093,0.704591971953808,0.4091839439076159,0.8252968036529681,1.0,True,long_signal,model,True,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,220.74000549316406,222.21751512856815,0.0066934384281776005,1.4775096354040897,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,220.74000549316406,-0.024780313948539558,0.0066934384281776005,0.03816719080489476,yahoo_latest,baseline_momentum_quantile,5.39698556322996,0.09673458923525484,-0.0668751785115792,-4.527522915487303e-05,-0.01671965765099559,-0.014196390161800998,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:17:40 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06294750475343432,67.52968036529681,0.6977654838081744,Long,0.1521621022904432,0.1521621022904432,0.0046934384281776004,1.036029624417751,0.002,0.06294750475343432,0.6977654838081744,0.39553096761634876,0.6752968036529681,1.0,True,long_signal,model,True,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,118.32,114.98858015303524,-0.02815601628604425,-3.3314198469647494,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,118.32,-0.07650470366684795,-0.02815601628604425,0.02019267109475944,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.011419157066893,0.11820330969267138,-0.025845744051863573,-0.15506537955568567,0.05023675552177498,-0.021807912245525057,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,72831847129.92,1255.0,0.044901065449010624,2026-02-11 18:17:40 UTC,True,True,True,True,True,True,True,True,12.0,16.529680365296812,20.0,16.0,64.52968036529681,64.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.09669737476160739,64.52968036529681,0.028762403357407096,Short,0.28151504271353567,-0.28151504271353567,0.026156016286044248,3.094779846964755,0.002,0.09669737476160739,0.028762403357407096,0.9424751932851858,0.6452968036529682,1.0,True,short_signal,model,True,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.62000274658203,113.84899596211461,0.010912743611790399,1.228993215532583,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,112.62000274658203,-0.043909070829640434,0.010912743611790399,0.06573455805322123,yahoo_latest,baseline_momentum_quantile,4.724019344214521,0.19683353468724707,-0.15316942555979585,-0.09396621092850899,-0.04085033200559307,-0.024727647910331097,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:17:40 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.10964362888286167,67.52968036529681,0.7964241043589103,Long,0.17288268324917783,0.17288268324917783,0.008912743611790399,1.0037532100394162,0.002,0.10964362888286167,0.7964241043589103,0.5928482087178206,0.6752968036529681,1.0,True,long_signal,model,True,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,98.015,97.66893377539354,-0.0035307475856395376,-0.3460662246064601,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,98.015,-0.037623496693027884,-0.0035307475856395376,0.03056200152174881,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.28395347463494,0.6896551724137931,0.10030306886992979,0.07981715340446094,0.02112251994191816,-0.015377701464503936,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,35187385000.0,1255.0,0.044901065449010624,2026-02-11 18:17:40 UTC,True,True,True,True,True,True,True,True,6.0,16.529680365296812,20.0,16.0,58.52968036529681,58.52968036529681,3,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0681854982147767,58.52968036529681,0.39142089903832256,Flat,0.0,0.0,0.0015307475856395376,0.15003622460645927,0.002,0.0681854982147767,0.39142089903832256,0.2171582019233549,0.5852968036529681,1.0,True,short_edge_below_threshold,model,True,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,230.00999450683594,223.74589650920433,-0.027234025247739546,-6.264097997631609,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,230.00999450683594,-0.09686571183776652,-0.027234025247739546,0.042397661342287424,yahoo_latest,baseline_momentum_quantile,5.438122762356628,0.4105632879214066,-0.05864779424502464,-0.16903900054045218,0.04816883792115745,-0.03140771327881229,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:17:40 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.13926337318005394,67.52968036529681,0.03216280716417064,Short,0.23654809475884464,-0.23654809475884464,0.025234025247739544,5.804078008617932,0.002,0.13926337318005394,0.03216280716417064,0.9356743856716587,0.6752968036529681,1.0,True,short_signal,model,True,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,257.595,247.1473314178624,-0.040558506889254886,-10.447668582137624,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,257.595,-0.09059466908074762,-0.040558506889254886,0.009477655302237854,eastmoney_quote:105.ADBE,baseline_momentum_quantile,25.384275070960694,0.10989010989010989,-0.2671844791360334,-0.16894133058731253,0.07915335457158701,-0.022569056023807897,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,105742747500.00002,1255.0,0.044901065449010624,2026-02-11 18:17:40 UTC,True,True,True,True,True,True,True,True,18.0,16.529680365296812,20.0,16.0,70.52968036529681,70.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.10007232438298547,70.52968036529681,0.0062443558047193815,Short,0.31646086419644665,-0.31646086419644665,0.038558506889254884,9.932478582137612,0.002,0.10007232438298547,0.0062443558047193815,0.9875112883905612,0.7052968036529681,1.0,True,short_signal,model,True,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,336.3,345.1020639568472,0.02617324994602188,8.802063956847178,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,336.3,-0.013615729396839832,0.02617324994602188,0.0659622292888836,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.825116858176955,0.20576131687242796,0.39156697290108,0.13534316023897697,-0.04949439904733044,-0.01794701401123568,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,164325796498.5,1255.0,0.044901065449010624,2026-02-11 18:17:53 UTC,True,True,True,True,True,True,True,True,24.0,16.529680365296812,20.0,16.0,76.52968036529681,76.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07957795868572343,76.52968036529681,0.9634435495354158,Long,0.3628476401046032,0.3628476401046032,0.02417324994602188,8.12946395684716,0.002,0.07957795868572343,0.9634435495354158,0.9268870990708316,0.7652968036529681,1.0,True,long_signal,model,True,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,69.33999633789062,70.49717947814209,0.016688537660321856,1.1571831402514619,2026-02-16 13:17 -0500,2026-02-16 18:17 UTC,69.33999633789062,-0.017026594512592183,0.016688537660321856,0.050403669833235895,yahoo_latest,baseline_momentum_quantile,4.239021887443069,0.0,0.17306708884972588,0.0940358972757056,-0.029700031315188058,-0.015207375496715416,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:17:53 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06743026434582808,67.52968036529681,0.8895415914680738,Long,0.2908042742166535,0.2908042742166535,0.014688537660321856,1.018503147575686,0.002,0.06743026434582808,0.8895415914680738,0.7790831829361475,0.6752968036529681,1.0,True,long_signal,model,True,,
