symbol,code,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h
000001.SZ,000001,平安银行,000001 平安银行,cn_equity,csi300,yahoo,000001.SZ,cn_equity:000001.sz,平安银行,cn_equity,000001.SZ,yahoo,Asia/Shanghai,3d,11.07,11.094738131969844,0.0022347002682785444,0.02473813196984409,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,11.07,-0.012794556718304016,0.0022347002682785444,0.017263957254861104,eastmoney_quote:0.000001,baseline_momentum_quantile,26.093082664966943,0.23809523809523808,-0.028947362697245405,-0.025528166427590482,-0.009115717899840448,-0.0067790199741589886,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,214823514451.86002,1212.0,0.07762557077625576,2026-02-11 15:31:00 UTC,True,True,True,True,True,False,True,False,23.333333333333332,15.0,20.0,16.0,74.33333333333333,54.33333333333333,1,False,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.03005851397316512,54.33333333333333,0.569383803982345,Flat,0.0,0.0,0.00023470026827854436,0.002598131969843486,0.002,0.03005851397316512,0.569383803982345,0.13876760796469,0.5433333333333333,1.0,False,probability_neutral,model,True,,
000002.SZ,000002,万科A,000002 万科A,cn_equity,csi300,yahoo,000002.SZ,cn_equity:000002.sz,万科A,cn_equity,000002.SZ,yahoo,Asia/Shanghai,3d,4.89,4.900254815322123,0.0020970992478779316,0.010254815322123356,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,4.89,-0.06047724319593478,0.0020970992478779316,0.06467144169169065,eastmoney_quote:0.000002,baseline_momentum_quantile,24.78957384426346,3.0303030303030303,-0.2808823927463534,0.04264388205224612,0.0020408629973885928,-0.028224463636171166,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,58341169313.189995,1212.0,0.07762557077625576,2026-02-11 15:31:00 UTC,True,True,True,True,True,False,True,False,3.333333333333333,15.0,20.0,16.0,54.33333333333333,34.33333333333333,2,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.12514868488762543,34.33333333333333,0.5651616407580923,Flat,0.0,0.0,9.709924787793152e-05,0.0004748153221230851,0.002,0.12514868488762543,0.5651616407580923,0.13032328151618455,0.34333333333333327,1.0,False,probability_neutral,model,True,,
000063.SZ,000063,中兴通讯,000063 中兴通讯,cn_equity,csi300,yahoo,000063.SZ,cn_equity:000063.sz,中兴通讯,cn_equity,000063.SZ,yahoo,Asia/Shanghai,3d,37.35,37.29974794949824,-0.001345436425749913,-0.0502520505017614,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,37.35,-0.037118156674063374,-0.001345436425749913,0.03442728382256355,eastmoney_quote:0.000063,baseline_momentum_quantile,25.908778537830088,0.03971405877680699,-0.1601079953032989,-0.07526617879341846,-0.00619610853595054,-0.016135460675788246,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,178665028029.45,1212.0,0.07762557077625576,2026-02-11 15:31:00 UTC,True,True,True,True,True,False,True,False,20.0,15.0,20.0,16.0,71.0,51.0,1,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.07154544049662692,51.0,0.45805393326473015,Flat,0.0,0.0,-0.003345436425749913,-0.12495205050175925,0.002,0.07154544049662692,0.45805393326473015,0.0838921334705397,0.51,1.0,False,probability_neutral,model,True,,
000100.SZ,000100,TCL科技,000100 TCL科技,cn_equity,csi300,yahoo,000100.SZ,cn_equity:000100.sz,TCL科技,cn_equity,000100.SZ,yahoo,Asia/Shanghai,3d,4.71999979019165,4.633554223623784,-0.01831473949373974,-0.08644556656786673,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,4.71999979019165,-0.05658746199489849,-0.01831473949373974,0.01995798300741901,yahoo_latest,baseline_momentum_quantile,1.5518087551465416,0.07450982775426056,0.0850574468208718,-0.0483871463930442,0.040650464024575284,-0.017263098936456132,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1212.0,0.07762557077625576,2026-02-11 15:31:00 UTC,True,True,True,True,True,False,True,False,15.0,15.0,20.0,16.0,66.0,46.0,2,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.0765454450023175,46.0,0.09200947048286534,Flat,0.0,0.0,-0.020314739493739742,-0.09588556614824961,0.002,0.0765454450023175,0.09200947048286534,0.8159810590342693,0.46,1.0,False,short_disallowed,model,True,,
000157.SZ,000157,中联重科,000157 中联重科,cn_equity,csi300,yahoo,000157.SZ,cn_equity:000157.sz,中联重科,cn_equity,000157.SZ,yahoo,Asia/Shanghai,3d,9.75,9.941971684528063,0.019689403541339745,0.19197168452806324,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,9.75,-0.02497623676623561,0.019689403541339745,0.0643550438489151,eastmoney_quote:0.000157,baseline_momentum_quantile,25.157923091682235,0.061996280223186616,0.2516046274383732,0.1324042263391565,-0.032839028961494154,-0.020146655824301272,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,84323218551.0,1212.0,0.07762557077625576,2026-02-11 15:31:00 UTC,True,True,True,True,True,False,True,False,6.666666666666666,15.0,20.0,16.0,57.666666666666664,37.666666666666664,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.08933128061515072,37.666666666666664,0.9213748578794416,Long,0.1532043919374861,0.1532043919374861,0.017689403541339743,0.1724716845280625,0.002,0.08933128061515072,0.9213748578794416,0.8427497157588832,0.37666666666666665,1.0,False,long_signal,model,True,,
000166.SZ,000166,申万宏源,000166 申万宏源,cn_equity,csi300,yahoo,000166.SZ,cn_equity:000166.sz,申万宏源,cn_equity,000166.SZ,yahoo,Asia/Shanghai,3d,5.09,5.081448340151556,-0.0016800903435056913,-0.008551659848444082,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,5.09,-0.0216839425179339,-0.0016800903435056913,0.018323761830922516,eastmoney_quote:0.000166,baseline_momentum_quantile,25.57101599968078,0.08389261744966443,-0.015473872828915214,-0.04681647806299105,-0.001968549022052013,-0.009022835498230942,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,127453317810.4,1212.0,0.07762557077625576,2026-02-11 15:31:00 UTC,True,True,True,True,True,False,True,False,13.333333333333332,15.0,20.0,16.0,64.33333333333333,44.33333333333333,1,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.040007704348856414,44.33333333333333,0.44768929809157615,Flat,0.0,0.0,-0.0036800903435056913,-0.01873165984844397,0.002,0.040007704348856414,0.44768929809157615,0.1046214038168477,0.4433333333333333,1.0,False,short_disallowed,model,True,,
000301.SZ,000301,东方盛虹,000301 东方盛虹,cn_equity,csi300,yahoo,000301.SZ,cn_equity:000301.sz,东方盛虹,cn_equity,000301.SZ,yahoo,Asia/Shanghai,3d,13.2,13.553220585528873,0.026759135267338863,0.3532205855288737,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,13.2,-0.03860976706243363,0.026759135267338863,0.09212803759711136,eastmoney_quote:0.000301,baseline_momentum_quantile,25.1922524327344,0.0019313967861557479,0.41479098791051694,0.22109151682467587,-0.03937007933143666,-0.029484963559941017,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,87268240184.4,1212.0,0.07762557077625576,2026-02-11 15:31:00 UTC,True,True,True,True,True,False,True,False,10.0,15.0,20.0,16.0,61.0,41.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.130737804659545,41.0,0.9659371659917422,Long,0.14873111795744084,0.14873111795744084,0.02475913526733886,0.32682058552887294,0.002,0.130737804659545,0.9659371659917422,0.9318743319834843,0.41,1.0,False,long_signal,model,True,,
000333.SZ,000333,美的集团,000333 美的集团,cn_equity,csi300,yahoo,000333.SZ,cn_equity:000333.sz,美的集团,cn_equity,000333.SZ,yahoo,Asia/Shanghai,3d,79.69,79.7915573047414,0.001274404627197967,0.10155730474140512,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,79.69,-0.025584761078916357,0.001274404627197967,0.02813357033331229,eastmoney_quote:0.000333,baseline_momentum_quantile,27.12954393667833,0.08340283569641367,0.07398929540379351,0.0329228887270383,0.0015035098466129604,-0.012114958242682711,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,605635366624.47,1212.0,0.07762557077625576,2026-02-11 15:31:00 UTC,True,True,True,True,True,False,True,False,30.0,15.0,20.0,16.0,81.0,61.0,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.05371833141222865,61.0,0.5397411386291633,Flat,0.0,0.0,-0.000725595372802033,-0.057822695258594015,0.002,0.05371833141222865,0.5397411386291633,0.07948227725832657,0.61,1.0,False,probability_neutral,model,True,,
000338.SZ,000338,潍柴动力,000338 潍柴动力,cn_equity,csi300,yahoo,000338.SZ,cn_equity:000338.sz,潍柴动力,cn_equity,000338.SZ,yahoo,Asia/Shanghai,3d,25.97,26.7499598935818,0.03003311103510975,0.7799598935818004,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,25.97,-0.05757184200885353,0.03003311103510975,0.11763806407907303,eastmoney_quote:0.000338,baseline_momentum_quantile,26.145090739586504,0.05230125523012552,0.8859839106768026,0.33935018725265453,-0.030964619402937155,-0.03951464314240369,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,226291706257.12,1212.0,0.07762557077625576,2026-02-11 15:31:06 UTC,True,True,True,True,True,False,True,False,26.666666666666664,15.0,20.0,16.0,77.66666666666666,57.66666666666666,3,True,Retired,Remove,missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.17520990608792655,57.66666666666666,0.9771153622747347,Long,0.17736332111817085,0.17736332111817085,0.028033111035109748,0.7280198935818001,0.002,0.17520990608792655,0.9771153622747347,0.9542307245494694,0.5766666666666665,1.0,False,long_signal,model,True,,
000408.SZ,000408,藏格矿业,000408 藏格矿业,cn_equity,csi300,yahoo,000408.SZ,cn_equity:000408.sz,藏格矿业,cn_equity,000408.SZ,yahoo,Asia/Shanghai,3d,84.84,83.93767488341467,-0.010635609577856364,-0.902325116585331,2026-02-16 23:31 +0800,2026-02-16 15:31 UTC,84.84,-0.0758502358826814,-0.010635609577856364,0.054579016726968674,eastmoney_quote:0.000408,baseline_momentum_quantile,25.615252362291006,0.02753303964757709,0.5601323036316577,-0.05449689998997542,0.022242714991853152,-0.02941537660327468,market_cap_log,earnings_yield_1_over_trailing_pe,proxy_return_90d,133217952205.8,1212.0,0.07762557077625576,2026-02-11 15:31:06 UTC,True,True,True,True,True,False,True,False,16.666666666666668,15.0,20.0,16.0,67.66666666666667,47.66666666666667,2,False,Retired,Remove,predicted_change_non_positive;missing_rate_too_high,,,,,,,,,,low,False,True,nan,,,,,cash,0.13042925260965008,47.66666666666667,0.20925015811523417,Flat,0.0,0.0,-0.012635609577856364,-1.072005116585334,0.002,0.13042925260965008,0.20925015811523417,0.5814996837695317,0.47666666666666674,1.0,False,short_disallowed,model,True,,
