branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,1422,-0.0002492911777701998,-1.965411645540255,0.0852359208523592
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,4073,-0.0002304979799085781,-1.8172460735992297,0.2576103500761035
hourly,2,0.55,0.45,2,-1.923852757030226e-06,-0.015167655136426301,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,5797,0.00046284403969709193,3.6490624089718726,0.3773465246067986
hourly,4,0.55,0.45,167,6.160761877570157e-05,0.4857144664276312,0.0136986301369863
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,87,-0.000502934650636423,-0.16546550005938318,0.12158054711246201
daily,1,0.55,0.45,1,-2.6054403375349244e-05,-0.008571898710489901,0.0
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,133,-0.000508220556213877,-0.16720456299436554,0.20364741641337386
daily,3,0.55,0.45,0,0.0,0.0,0.0
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,271,0.000755738495788916,0.24863796511455338,0.42249240121580545
daily,7,0.55,0.45,0,0.0,0.0,0.0
daily,7,0.58,0.42,0,0.0,0.0,0.0
