symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,128.24000549316406,125.60160678539629,-0.02057391293474653,-2.6383987077677773,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,128.24000549316406,-0.05542977761351688,-0.02057391293474653,0.014281951744023823,yahoo_latest,baseline_momentum_quantile,4.853903551136325,0.18422386779443228,-0.0754145038588675,-0.1235647958313224,0.035644385521614086,-0.015721908480566586,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:01:07 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.0697117293575407,67.52968036529681,0.07097953860934902,Short,0.31550200660399325,-0.31550200660399325,0.018573912934746528,2.3819186967814456,0.002,0.0697117293575407,0.07097953860934902,0.858040922781302,0.6752968036529681,1.0,True,short_signal,model,True,0.0,0.0
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,279.585,281.91086676008405,0.008318996942196621,2.325866760084068,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,279.585,-0.02778328908753073,0.008318996942196621,0.04442128297192397,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.043135874645284,0.021486892995272885,0.08750437355708218,0.07117417337164955,-0.011356702807851171,-0.01628411293564371,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4104626526899.9995,1255.0,0.044901065449010624,2026-02-11 18:01:07 UTC,True,True,True,True,True,True,True,True,30.0,16.529680365296812,20.0,16.0,82.52968036529681,82.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0722045720594547,82.52968036529681,0.7388258127747731,Long,0.21120487148035286,0.21120487148035286,0.006318996942196621,1.7666967600840422,0.002,0.0722045720594547,0.7388258127747731,0.4776516255495462,0.8252968036529681,1.0,True,long_signal,model,True,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,221.125,222.77523771695323,0.007462917883338527,1.650237716953228,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,221.125,-0.023917174035089507,0.007462917883338527,0.03884300980176656,yahoo_latest,baseline_momentum_quantile,5.39872815247995,0.09515919640792203,-0.06524770763396137,0.001698754246885592,-0.018492926987984104,-0.014154144153359083,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:01:07 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06276018383685607,67.52968036529681,0.7176561166081526,Long,0.1676808146453414,0.1676808146453414,0.005462917883338527,1.2079877169532318,0.002,0.06276018383685607,0.7176561166081526,0.4353122332163053,0.6752968036529681,1.0,True,long_signal,model,True,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,118.56,115.31168447459879,-0.027398072920050698,-3.2483155254012104,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,118.56,-0.07568107479007571,-0.027398072920050698,0.02088492894997431,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.01344550021213,0.11792452830188678,-0.024117214229119388,-0.15356613579548106,0.04855150487219584,-0.021778284474173553,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,72979579071.36,1255.0,0.044901065449010624,2026-02-11 18:01:07 UTC,True,True,True,True,True,True,True,True,12.0,16.529680365296812,20.0,16.0,64.52968036529681,64.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.09656600374005003,64.52968036529681,0.03153057768458817,Short,0.2800657168866004,-0.2800657168866004,0.025398072920050696,3.0111955254012104,0.002,0.09656600374005003,0.03153057768458817,0.9369388446308237,0.6452968036529682,1.0,True,short_signal,model,True,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.26000213623047,113.32471381138706,0.009484336851023123,1.0647116751565875,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,112.26000213623047,-0.04524965909902979,0.009484336851023123,0.06421833280107603,yahoo_latest,baseline_momentum_quantile,4.720817628543364,0.1994009331127037,-0.15587640048634444,-0.09686243459313482,-0.03752315436691189,-0.02468803694967729,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:01:07 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.10946799190010581,67.52968036529681,0.7659428256335936,Long,0.15524646064833908,0.15524646064833908,0.007484336851023123,0.8401916708841242,0.002,0.10946799190010581,0.7659428256335936,0.5318856512671872,0.6752968036529681,1.0,True,long_signal,model,True,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,97.81,97.37422289698974,-0.0044553430427386465,-0.43577710301026684,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,97.81,-0.03859752529311075,-0.0044553430427386465,0.02968683920763346,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.281859767754955,0.6896551724137931,0.0980017461617928,0.07755867771165215,0.0231698767448536,-0.015399998525760622,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,35113790000.0,1255.0,0.044901065449010624,2026-02-11 18:01:07 UTC,True,True,True,True,True,True,True,True,6.0,16.529680365296812,20.0,16.0,58.52968036529681,58.52968036529681,3,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.06828436450074421,58.52968036529681,0.3642609022181921,Short,0.08733331838056403,-0.08733331838056403,0.0024553430427386464,0.24015710301026702,0.002,0.06828436450074421,0.3642609022181921,0.27147819556361585,0.5852968036529681,1.0,True,short_signal,model,True,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,230.9949951171875,225.11470814156428,-0.025456339314365084,-5.880286975623221,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,230.9949951171875,-0.094589790338369,-0.025456339314365084,0.04367711170963884,yahoo_latest,baseline_momentum_quantile,5.442396044127717,0.40803906925688344,-0.054616523781267134,-0.16548047216693118,0.04409269211014821,-0.031182981686497243,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:01:08 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.13826690204800784,67.52968036529681,0.039847119077149606,Short,0.2337089648123708,-0.2337089648123708,0.023456339314365082,5.418296985388856,0.002,0.13826690204800784,0.039847119077149606,0.9203057618457008,0.6752968036529681,1.0,True,short_signal,model,True,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,258.01,247.772206252396,-0.039679833136715636,-10.237793747604002,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,258.01,-0.08954624739498913,-0.039679833136715636,0.010186581121557861,eastmoney_quote:105.ADBE,baseline_momentum_quantile,25.385885218298963,0.10976948408342481,-0.2656478338624071,-0.1671986786645563,0.07722242570184379,-0.022492490387137187,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,105913146050.00002,1255.0,0.044901065449010624,2026-02-11 18:01:08 UTC,True,True,True,True,True,True,True,True,18.0,16.529680365296812,20.0,16.0,70.52968036529681,70.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.099732828516547,70.52968036529681,0.006964233424016364,Short,0.31658549632071126,-0.31658549632071126,0.037679833136715635,9.721773747604,0.002,0.099732828516547,0.006964233424016364,0.9860715331519673,0.7052968036529681,1.0,True,short_signal,model,True,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,336.91,346.0126531625471,0.02701805574944971,9.102653162547085,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,336.91,-0.013101245575183072,0.02701805574944971,0.0671373570740825,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.826929071801064,0.2053388090349076,0.3940911417005275,0.13740256365796366,-0.05139808106110211,-0.018096007358965976,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,164623859941.45,1255.0,0.044901065449010624,2026-02-11 18:01:22 UTC,True,True,True,True,True,True,True,True,24.0,16.529680365296812,20.0,16.0,76.52968036529681,76.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.08023860264926558,76.52968036529681,0.9669861489262669,Long,0.36414458362170804,0.36414458362170804,0.025018055749449708,8.428833162547102,0.002,0.08023860264926558,0.9669861489262669,0.9339722978525338,0.7652968036529681,1.0,True,long_signal,model,True,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,69.63999938964844,70.93849590884513,0.018645843345451052,1.2984965191966893,2026-02-16 13:01 -0500,2026-02-16 18:01 UTC,69.63999938964844,-0.015321692241056117,0.018645843345451052,0.05261337893195822,yahoo_latest,baseline_momentum_quantile,4.243339106135606,0.0,0.17814242379575984,0.09876929971657011,-0.034155081331117554,-0.015321223292639146,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 18:01:22 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06793507117301434,67.52968036529681,0.9113903415747203,Long,0.3060901180099087,0.3060901180099087,0.01664584334545105,1.1592165204173945,0.002,0.06793507117301434,0.9113903415747203,0.8227806831494406,0.6752968036529681,1.0,True,long_signal,model,True,,
