branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,0,0.0,0.0,0.0
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,0,0.0,0.0,0.0
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,0,0.0,0.0,0.0
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,161,-0.0009124897975842961,-0.3002091434052334,0.24012158054711247
daily,1,0.55,0.45,37,-0.0003191953753586134,-0.10501527849298382,0.0547112462006079
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,186,-0.002529881898758177,-0.8323311446914403,0.2553191489361702
daily,3,0.55,0.45,66,-0.0012667816672168718,-0.4167711685143508,0.0790273556231003
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,300,-0.0028438775295728264,-0.9356357072294599,0.4012158054711246
daily,7,0.55,0.45,273,-0.0019791678602746493,-0.6511462260303595,0.3708206686930091
daily,7,0.58,0.42,44,-0.0017676164676138368,-0.5815458178449523,0.03951367781155015
