total_return,cagr,max_drawdown,sharpe,sortino,volatility,win_rate,avg_win_loss_ratio,profit_factor,expectancy,exposure,trades_count,turnover_avg,market,symbol,strategy,fold,period_start,period_end
-0.010529162480073406,-0.043483215570357614,-0.010821393023415005,-4.301547312647332,-2.846304140068326,0.010321790106141593,0.2857142857142857,0.4682881343232066,0.18731525372928265,-0.000702547359277664,0.23333333333333334,18,0.01756877225197101,cn_equity,000001.SZ,policy,0,2021-11-15 01:30:00+00:00,2022-02-14 01:30:00+00:00
-0.05064770566857513,-0.1961128287336139,-0.1319427876097905,-0.7484479586735826,-1.2289564245815476,0.2499392836369828,0.4666666666666667,1.005834910179797,0.8801055464073224,-0.0007423275659937988,1.0,1,0.016666666666666666,cn_equity,000001.SZ,buy_hold,0,2021-11-15 01:30:00+00:00,2022-02-14 01:30:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cn_equity,000001.SZ,ma_crossover,0,2021-11-15 01:30:00+00:00,2022-02-14 01:30:00+00:00
-0.05288629706839543,-0.20404428691163745,-0.09629670149642833,-1.3096762923503253,-1.6122126875296974,0.16393581733947385,0.43478260869565216,1.0903133111189491,0.8387025470145762,-0.0011269446525526122,0.38333333333333336,25,0.4166666666666667,cn_equity,000001.SZ,naive_prev_bar,0,2021-11-15 01:30:00+00:00,2022-02-14 01:30:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cn_equity,000001.SZ,lux_machine_supertrend,0,2021-11-15 01:30:00+00:00,2022-02-14 01:30:00+00:00
-0.0015810479213226314,-0.006623622668390006,-0.0022163923964541032,-1.3804630801298945,-0.9964417114515961,0.004805648627090362,0.3333333333333333,1.256824593876612,0.6284122969383059,-0.00014858986048160396,0.15,12,0.005948834548102493,cn_equity,000001.SZ,policy,1,2022-02-15 01:30:00+00:00,2022-05-16 01:30:00+00:00
0.007657142895029612,0.03255622362693278,-0.13758090813987467,0.26101484044239287,0.4794840716480998,0.3271947478628082,0.4666666666666667,1.1916387975090763,1.042683947820442,0.0003388995432817444,1.0,1,0.016666666666666666,cn_equity,000001.SZ,buy_hold,1,2022-02-15 01:30:00+00:00,2022-05-16 01:30:00+00:00
-0.028875862054140944,-0.1157930065531031,-0.0488603138370135,-0.5578956021523569,-0.4696186260219284,0.18858999724722836,0.5,0.8532978565755884,0.8532978565755884,-0.001275046694102563,0.3,2,0.03333333333333333,cn_equity,000001.SZ,ma_crossover,1,2022-02-15 01:30:00+00:00,2022-05-16 01:30:00+00:00
-0.014289323346050598,-0.05865735309231623,-0.08407739969859918,-0.18062495255873529,-0.26793708357126245,0.2115774869472212,0.44,1.4038370119227674,1.1030147950821743,0.0008120364424539228,0.4166666666666667,29,0.48333333333333334,cn_equity,000001.SZ,naive_prev_bar,1,2022-02-15 01:30:00+00:00,2022-05-16 01:30:00+00:00
-0.01272435466300803,-0.052364373630892525,-0.07013707302835559,-0.13905471886316256,-0.1383369952948723,0.2173480597504012,0.47619047619047616,1.0696080550122362,0.9723709591020329,-0.00024266749823181367,0.35,2,0.03333333333333333,cn_equity,000001.SZ,lux_machine_supertrend,1,2022-02-15 01:30:00+00:00,2022-05-16 01:30:00+00:00
-0.001681180338939603,-0.0070419876393141845,-0.00192380431767869,-1.2613462358074774,-0.7771955986317549,0.005590198776598903,0.2,2.3308775093960303,0.5827193773490076,-0.00026582669658217024,0.08333333333333333,7,0.006994686168584713,cn_equity,000001.SZ,policy,2,2022-05-17 01:30:00+00:00,2022-08-09 01:30:00+00:00
-0.08612733321301191,-0.31495375508668066,-0.1463757859683844,-1.564402538203856,-2.5540371659721806,0.22537813204562743,0.45,0.9223886638947267,0.7782654351611756,-0.0015963215370085474,1.0,1,0.016666666666666666,cn_equity,000001.SZ,buy_hold,2,2022-05-17 01:30:00+00:00,2022-08-09 01:30:00+00:00
-0.08256852582522778,-0.3036793602528106,-0.11135176402834712,-3.1479946808865398,-2.1776875399223408,0.11285312288298004,0.2857142857142857,0.7644664642043556,0.3057865856817422,-0.005891854261174426,0.23333333333333334,2,0.03333333333333333,cn_equity,000001.SZ,ma_crossover,2,2022-05-17 01:30:00+00:00,2022-08-09 01:30:00+00:00
-0.03649353274878042,-0.1445601786624756,-0.056133729574761815,-1.0738104204036982,-1.561243580901596,0.1367035374723785,0.44,1.2394160515110022,0.9738268976157874,-0.00013803507660845472,0.4166666666666667,30,0.5,cn_equity,000001.SZ,naive_prev_bar,2,2022-05-17 01:30:00+00:00,2022-08-09 01:30:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cn_equity,000001.SZ,lux_machine_supertrend,2,2022-05-17 01:30:00+00:00,2022-08-09 01:30:00+00:00
-0.0058858025227574995,-0.024488574889183434,-0.0058858025227574995,-3.142023496096555,-1.328913207035461,0.007880609170003054,0.0,0.0,0.0,-0.0012585470456502623,0.06666666666666667,8,0.012343622677456863,cn_equity,000001.SZ,policy,3,2022-08-10 01:30:00+00:00,2022-11-09 01:30:00+00:00
-0.006402763107560605,-0.026617407164557627,-0.1515124049592279,-0.004375938621578663,-0.007775260139271391,0.22825630140398934,0.48333333333333334,1.0682034628443662,0.9992871104027943,-3.963633194175968e-06,1.0,1,0.016666666666666666,cn_equity,000001.SZ,buy_hold,3,2022-08-10 01:30:00+00:00,2022-11-09 01:30:00+00:00
