task_id,tier,group_key,run_index,total_runs,seed,market,symbol,provider,status,error,auc,brier,coverage,signal_flip_rate,net_return,max_drawdown
core_market_cn_core_001,core_market,core_market::cn_core,1,50,42,cn_equity,cn_core,,success,,,,,0.09997945158565263,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_002,core_market,core_market::cn_core,2,50,59,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_003,core_market,core_market::cn_core,3,50,76,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_004,core_market,core_market::cn_core,4,50,93,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_005,core_market,core_market::cn_core,5,50,110,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_006,core_market,core_market::cn_core,6,50,127,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_007,core_market,core_market::cn_core,7,50,144,cn_equity,cn_core,,success,,,0.24928526488380273,0.7212528799604715,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_008,core_market,core_market::cn_core,8,50,161,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_009,core_market,core_market::cn_core,9,50,178,cn_equity,cn_core,,success,,,,,0.18489854501449357,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_010,core_market,core_market::cn_core,10,50,195,cn_equity,cn_core,,success,,,,,0.24913473476122783,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_011,core_market,core_market::cn_core,11,50,212,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_012,core_market,core_market::cn_core,12,50,229,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_013,core_market,core_market::cn_core,13,50,246,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_014,core_market,core_market::cn_core,14,50,263,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_015,core_market,core_market::cn_core,15,50,280,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_016,core_market,core_market::cn_core,16,50,297,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_017,core_market,core_market::cn_core,17,50,314,cn_equity,cn_core,,success,,,0.24817930615165562,0.7026889876685037,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_018,core_market,core_market::cn_core,18,50,331,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_019,core_market,core_market::cn_core,19,50,348,cn_equity,cn_core,,success,,,,,0.01610651777085794,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_020,core_market,core_market::cn_core,20,50,365,cn_equity,cn_core,,success,,,,,0.07935718511557782,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_021,core_market,core_market::cn_core,21,50,382,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_022,core_market,core_market::cn_core,22,50,399,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_023,core_market,core_market::cn_core,23,50,416,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_024,core_market,core_market::cn_core,24,50,433,cn_equity,cn_core,,success,,0.5451129205314711,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_025,core_market,core_market::cn_core,25,50,450,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_026,core_market,core_market::cn_core,26,50,467,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_027,core_market,core_market::cn_core,27,50,484,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_028,core_market,core_market::cn_core,28,50,501,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_029,core_market,core_market::cn_core,29,50,518,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
core_market_cn_core_030,core_market,core_market::cn_core,30,50,535,cn_equity,cn_core,,success,,,,,,-0.0030912994569016377,-0.008550119198738326
