market,symbol,strategy,total_return,cagr,max_drawdown,sharpe,sortino,volatility,win_rate,avg_win_loss_ratio,profit_factor,expectancy,exposure,trades_count,turnover_avg
cn_equity,000001.SZ,buy_hold,-0.03388016477352951,-0.12628194183947986,-0.14185297166931937,-0.514052898764156,-0.827821194761225,0.25769211623735194,0.4666666666666667,1.0470164586069917,0.9250855099479336,-0.0005009282982286944,1.0,1.0,0.016666666666666666
cn_equity,000001.SZ,lux_machine_supertrend,-0.0031810886657520077,-0.013091093407723131,-0.017534268257088897,-0.03476367971579064,-0.03458424882371808,0.0543370149376003,0.11904761904761904,0.26740201375305905,0.24309273977550822,-6.066687455795342e-05,0.0875,0.5,0.008333333333333333
cn_equity,000001.SZ,ma_crossover,-0.026476928824443413,-0.0990028760731646,-0.04334249005474153,-0.7830148330434866,-0.5854778615380881,0.08584761449355077,0.3464285714285714,0.6506825425706901,0.6591333041278888,-0.0014001695154707621,0.15416666666666667,1.5,0.025
cn_equity,000001.SZ,naive_prev_bar,-0.045973347501812006,-0.1758593874830704,-0.08357189478948657,-1.2199340522149316,-1.5668115465298846,0.16478040895554413,0.41523411371237456,1.269691954529887,0.9069274274590384,-0.0005689509011118457,0.41250000000000003,29.0,0.48333333333333334
cn_equity,000001.SZ,policy,-0.004919298315773285,-0.02040935019181131,-0.005211848065076324,-2.5213450311703145,-1.4872136642967846,0.007149561669958478,0.20476190476190476,1.0139975593989623,0.349611732004149,-0.0005938777404979252,0.13333333333333333,11.25,0.01071397891152877
cn_equity,000002.SZ,buy_hold,0.05194028461875641,0.35687045664007955,-0.1923416754540345,0.44943513365982163,1.058846819037613,0.35983974940772345,0.4625,1.2327820589392724,1.1010211224353006,0.0008023618064398948,1.0,1.0,0.016666666666666666
cn_equity,000002.SZ,lux_machine_supertrend,0.06855428833870392,0.44108969105484797,-0.09360503960677607,0.5146231150510909,1.4399213519081608,0.27088503328656366,0.43910984848484846,1.381245698098943,1.148547771246569,0.0011935711993262062,0.5208333333333333,2.25,0.0375
cn_equity,000002.SZ,ma_crossover,-0.007379884577216056,-0.010568087497666856,-0.09281659682437293,-0.3358775703897542,-0.03459136326422829,0.19479911289620583,0.44190548014077424,1.1599323276349016,0.9233878200120216,-0.0009423154781673978,0.325,2.0,0.03333333333333333
cn_equity,000002.SZ,naive_prev_bar,-0.012907885187488172,-0.04606855119109199,-0.11566099994157233,-0.25629579975818223,-0.3691011182309763,0.2532273136765425,0.40888409961685823,1.5560187627117272,1.0903516869503156,0.0007743173933877762,0.44583333333333336,29.75,0.49583333333333335
cn_equity,000002.SZ,policy,0.0006897918092829414,0.003161755867341548,-0.009770959150780162,0.18906950967717698,0.6000386410949599,0.026422136693642972,0.29550025138260433,3.3593990302530017,1.2619176301944754,9.574287094469059e-05,0.25,20.25,0.02228587037239428
cn_equity,000063.SZ,buy_hold,-0.04083835732736402,-0.05578617991698323,-0.18686687792688608,-0.4376930888332031,-0.4274593970513926,0.2963492648484384,0.44583333333333336,1.1543832683246396,0.9865077298923407,-0.0009426185847078291,1.0,1.0,0.016666666666666666
cn_equity,000063.SZ,lux_machine_supertrend,-0.013405339108246261,-0.030928588967275017,-0.06980806917264423,-0.25126486613456067,0.3714312435536771,0.15387287137250205,0.4079861111111111,1.3780739327332863,1.2313467234932989,-0.00409709738201905,0.28750000000000003,1.75,0.029166666666666667
cn_equity,000063.SZ,ma_crossover,-0.016697649639695555,-0.060103076750765205,-0.048860878497598625,-1.116214057284986,-0.7641316387639312,0.1016511534302726,0.31373517786561267,1.1946968950854586,1.0101204188958532,-0.001967511901798507,0.16666666666666666,1.5,0.024999999999999998
cn_equity,000063.SZ,naive_prev_bar,-0.053145277307111494,-0.12761169733474015,-0.1286659340812032,-1.1817984456009363,-0.5182081926698232,0.2077066563253902,0.39125,1.572677415209761,1.1196653817839797,-0.0010199747405541702,0.43333333333333335,30.5,0.5083333333333333
cn_equity,000063.SZ,policy,-0.0049220822607162484,-0.020426578210545776,-0.009118505482166833,-1.7563998400640386,-1.224407851559399,0.013735877212561297,0.37529823118058414,1.0860345580757063,0.6499806529094646,-0.0003228190760722705,0.2125,17.25,0.0242443464198917
cn_equity,000100.SZ,buy_hold,-0.013417958660091905,0.012421123087856312,-0.14200224248516347,-0.27411875533860713,-0.48048090930692466,0.2781644436936759,0.4291666666666667,1.288042370981083,0.9939745486605731,-0.0007182368010549701,1.0,1.0,0.016666666666666666
cn_equity,000100.SZ,lux_machine_supertrend,-0.009538434007285379,-0.03133099515076676,-0.06509894932277774,-0.8528193590255003,-0.4355982167187905,0.1438289976682111,0.27371794871794874,0.9480339412897749,0.5964515216521913,-0.0015762482144596893,0.29583333333333334,1.25,0.020833333333333332
cn_equity,000100.SZ,ma_crossover,-0.023120269274329808,-0.09236366088841205,-0.049833947451536104,-1.0460961892737555,-0.8431676000650606,0.0985915162076001,0.28968253968253965,0.9534261341735096,0.49266688064062075,-0.0021946067189291896,0.16666666666666666,1.75,0.029166666666666667
cn_equity,000100.SZ,naive_prev_bar,-0.08818669440382262,-0.2971283234075468,-0.13380779042948837,-2.2231729481848355,-2.7765384960303026,0.19309492667319847,0.3468300060496068,1.77752910787932,0.7536930454989876,-0.0025734942076478364,0.4291666666666667,30.5,0.5083333333333333
cn_equity,000100.SZ,policy,-0.0038282022863901366,-0.015706093225142492,-0.00782623707654545,-2.1866106424463694,-1.3137656599151148,0.013361573129699312,0.24583333333333335,1.3096892804127345,0.5080492582064002,-0.0002478191053990475,0.17083333333333334,14.25,0.013732250919321804
