symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h,news_score_30m_news,news_count_30m_news,news_score_120m_news,news_count_120m_news,news_score_1440m_news,news_count_1440m_news,news_burst_zscore_news,news_pos_neg_ratio_news,news_conflict_score_news,news_risk_level_news,news_event_risk_news,news_gate_pass_news,news_reason_codes_news,timestamp_utc_news,news_latest_headlines_news,news_latest_providers_news,news_last_available_at_utc_news
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,128.8350067138672,126.44387638580888,-0.0185596321143431,-2.39113032805831,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,128.8350067138672,-0.0535047528953202,-0.0185596321143431,0.0163854886666338,yahoo_latest,baseline_momentum_quantile,4.8585325679984335,0.1804388726783126,-0.0711246607889707,-0.1194983579491487,0.0311700191520872,-0.0157621678826258,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 18:32:09 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.069890241561954,67.52968036529681,0.0894838060152025,Short,0.30154223312259804,-0.30154223312259804,0.016559632114343102,2.133460314630564,0.002,0.069890241561954,0.0894838060152025,0.821032387969595,0.6752968036529681,1.0,True,short_signal,model,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,,2026-02-08 01:00:00+00:00,,,
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,278.94,280.9726207855097,0.0072869462447469,2.032620785509721,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,278.94,-0.0285448177795945,0.0072869462447469,0.0431187102690883,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.040826218723957,0.0215331610680447,0.085034767701809,0.0687416516504511,-0.009060020150057,-0.0161620926601505,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4095157191600.0,1255.0,0.0449010654490106,2026-02-11 18:32:09 UTC,True,True,True,True,True,True,True,True,30.0,16.529680365296812,20.0,16.0,82.52968036529681,82.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0716635280486829,82.52968036529681,0.7131778069528089,Long,0.1891812099926774,0.1891812099926774,0.0052869462447469,1.4747407855097001,0.002,0.0716635280486828,0.7131778069528089,0.4263556139056177,0.8252968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,220.3202972412109,221.610277854184,0.0058550239316388,1.2899806129730678,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,220.3202972412109,-0.025745742834342,0.0058550239316388,0.0374557906976196,yahoo_latest,baseline_momentum_quantile,5.395082384113471,0.0984520302843062,-0.0686493933250924,-0.0019465583637103,-0.014786498189095,-0.01425368062417,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 18:32:09 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0632015335319617,67.52968036529681,0.6752172495142345,Long,0.13457962949141022,0.13457962949141022,0.0038550239316388,0.8493400184906419,0.002,0.06320153353196159,0.6752172495142345,0.3504344990284689,0.6752968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,118.45,115.15766520070976,-0.0277951439365997,-3.292334799290245,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,118.45,-0.076110728194039,-0.0277951439365997,0.0205204403208394,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.012517269269143,0.1180637544273907,-0.0250226435836815,-0.1543514617367937,0.049434263959049,-0.0217929809195988,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,72911868598.2,1255.0,0.0449010654490106,2026-02-11 18:32:09 UTC,True,True,True,True,True,True,True,True,12.0,16.529680365296812,20.0,16.0,64.52968036529681,64.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0966311685148784,64.52968036529681,0.0300496756166273,Short,0.28084931480546804,-0.28084931480546804,0.0257951439365997,3.0554347992902344,0.002,0.0966311685148784,0.0300496756166273,0.9399006487667454,0.6452968036529682,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.69499969482422,113.95836532461549,0.0112104852319308,1.2633656297912663,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,112.69499969482422,-0.0436351144626756,0.0112104852319308,0.0660560849265372,yahoo_latest,baseline_momentum_quantile,4.724685051781254,0.1962986826861823,-0.1526054963535064,-0.0933628565729104,-0.0415434646336656,-0.0247383763652714,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 18:32:09 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.1096911993892128,67.52968036529681,0.802391787183069,Long,0.17631973550667662,0.17631973550667662,0.0092104852319308,1.0379756304016245,0.002,0.10969119938921279,0.802391787183069,0.604783574366138,0.6752968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,97.99,97.63296955046982,-0.003643539642108,-0.3570304495301712,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,97.99,-0.0377407121909158,-0.003643539642108,0.0304536329066997,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.28369837910028,0.6896551724137931,0.1000224051366003,0.0795417151891526,0.021372210609697,-0.0153796966794213,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,35178410000.0,1255.0,0.0449010654490106,2026-02-11 18:32:09 UTC,True,True,True,True,True,True,True,True,6.0,16.529680365296812,20.0,16.0,58.52968036529681,58.52968036529681,3,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0681943450976156,58.52968036529681,0.3880675554456488,Flat,0.0,0.0,0.0016435396421079999,0.1610504495301629,0.002,0.0681943450976155,0.3880675554456488,0.2238648891087024,0.5852968036529681,1.0,True,short_edge_below_threshold,model,True,,,,,,,,,,,,,,,,,,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,229.2899932861328,222.7478720870792,-0.0285320833469153,-6.542121199053611,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,229.2899932861328,-0.0985610021549576,-0.0285320833469153,0.0414968354611268,yahoo_latest,baseline_momentum_quantile,5.434987548641786,0.4124084040570501,-0.0615945128809186,-0.1716401611345835,0.0511483588766247,-0.0315868868163137,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 18:32:09 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.1400578376160844,67.52968036529681,0.0274779089945336,Short,0.23806719572910084,-0.23806719572910084,0.0265320833469153,6.083541212481325,0.002,0.1400578376160844,0.0274779089945336,0.9450441820109328,0.6752968036529681,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,257.73,247.40052337708923,-0.0400786738948154,-10.32947662291079,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,257.73,-0.0900197848129014,-0.0400786738948154,0.0098624370232705,eastmoney_quote:105.ADBE,baseline_momentum_quantile,25.38479901217483,0.1098901098901098,-0.2663452197160497,-0.1679895578737086,0.0780987518789133,-0.0225261826813952,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,105798165000.0,1255.0,0.0449010654490106,2026-02-11 18:32:09 UTC,True,True,True,True,True,True,True,True,18.0,16.529680365296812,20.0,16.0,70.52968036529681,70.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0998822218361719,70.52968036529681,0.006627788521929,Short,0.3165432136704998,-0.3165432136704998,0.038078673894815396,9.814016622910772,0.002,0.0998822218361719,0.006627788521929,0.986744422956142,0.7052968036529681,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,335.91,344.52051776770287,0.0256334070664845,8.610517767702845,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,335.91,-0.0139538305627369,0.0256334070664845,0.065220644695706,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.823956506370948,0.2061855670103093,0.3899532677088171,0.1340265803054519,-0.0482773720597879,-0.0178560174232068,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,164135231346.45,1255.0,0.0449010654490106,2026-02-11 18:32:21 UTC,True,True,True,True,True,True,True,True,24.0,16.529680365296812,20.0,16.0,76.52968036529681,76.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.079174475258443,76.52968036529681,0.9609911210225364,Long,0.36182367121116404,0.36182367121116404,0.0236334070664845,7.938697767702809,0.002,0.0791744752584429,0.9609911210225364,0.9219822420450727,0.7652968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,68.7699966430664,69.66239787746296,0.0129766072118389,0.8924012343965586,2026-02-16 13:32 -0500,2026-02-16 18:32 UTC,68.7699966430664,-0.0206216137332951,0.0129766072118389,0.0465748281569729,yahoo_latest,baseline_momentum_quantile,4.230767554517819,0.0,0.1634240557091646,0.0850425289384024,-0.0212355269222246,-0.0151546421148169,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 18:32:21 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0671964418902681,67.52968036529681,0.8350812230551329,Long,0.2505365672197152,0.2505365672197152,0.0109766072118389,0.7548612411104196,0.002,0.067196441890268,0.8350812230551329,0.6701624461102658,0.6752968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
