branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,0,0.0,0.0,0.0
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,0,0.0,0.0,0.0
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,0,0.0,0.0,0.0
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,207,0.0001272100106504248,0.04185209350398976,0.3373860182370821
daily,1,0.55,0.45,6,-6.200110755227997e-05,-0.020398364384700107,0.0121580547112462
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,262,0.0017619192730337152,0.5796714408280923,0.42857142857142855
daily,3,0.55,0.45,129,0.0011804936582378153,0.3883824135602412,0.23100303951367782
daily,3,0.58,0.42,2,-4.5262886737402135e-05,-0.014891489736605302,0.00303951367781155
daily,7,0.52,0.48,328,0.005348302538810211,1.7595915352685594,0.5683890577507599
daily,7,0.55,0.45,138,0.002108542226982853,0.6937103926773586,0.24924012158054712
daily,7,0.58,0.42,0,0.0,0.0,0.0
