index,branch,task,model,horizon,metric,mean,std
0,daily,direction,baseline_logistic,1,accuracy,0.5,0.1224744871391589
1,daily,direction,baseline_logistic,1,f1,0.24493971501644135,0.2864227126272861
2,daily,direction,baseline_logistic,1,precision,0.3157894736842105,0.2900711537506395
3,daily,direction,baseline_logistic,1,recall,0.24025641025641026,0.3178189354642749
4,daily,direction,baseline_logistic,1,roc_auc,0.5961980630308803,0.09890465824902218
5,daily,direction,baseline_logistic,3,accuracy,0.4533333333333333,0.20628997929021067
6,daily,direction,baseline_logistic,3,f1,0.22696192696192696,0.1789807417765381
7,daily,direction,baseline_logistic,3,precision,0.49333333333333335,0.3608631627393163
8,daily,direction,baseline_logistic,3,recall,0.18703296703296704,0.20561552527420732
9,daily,direction,baseline_logistic,3,roc_auc,0.557442735042735,0.08832199110655495
10,daily,direction,baseline_logistic,7,accuracy,0.44666666666666666,0.27948365088339444
11,daily,direction,baseline_logistic,7,f1,0.09725490196078432,0.15415306682743282
12,daily,direction,baseline_logistic,7,precision,0.175,0.24366985862022408
13,daily,direction,baseline_logistic,7,recall,0.08205128205128205,0.1443660334385564
14,daily,direction,baseline_logistic,7,roc_auc,0.6657102157102157,0.16143362178031273
15,daily,direction,baseline_prev_bar,1,accuracy,0.5266666666666666,0.04944132324730441
16,daily,direction,baseline_prev_bar,1,f1,0.5329824561403509,0.06920577638935717
17,daily,direction,baseline_prev_bar,1,precision,0.5298078529657477,0.07444805333077488
18,daily,direction,baseline_prev_bar,1,recall,0.5364012595591543,0.06396206240448911
19,daily,direction,baseline_prev_bar,1,roc_auc,0.5108387759471351,0.05143145414513716
20,daily,direction,baseline_prev_bar,3,accuracy,0.48,0.11205157542647738
21,daily,direction,baseline_prev_bar,3,f1,0.4640470640470641,0.22178846252424858
22,daily,direction,baseline_prev_bar,3,precision,0.4868838763575606,0.27896846584147184
23,daily,direction,baseline_prev_bar,3,recall,0.44999267399267395,0.17695771356478457
24,daily,direction,baseline_prev_bar,3,roc_auc,0.4513362062773828,0.11913215969692884
25,daily,direction,baseline_prev_bar,7,accuracy,0.47333333333333333,0.1115546702045434
26,daily,direction,baseline_prev_bar,7,f1,0.42867264780308256,0.2816788025492612
27,daily,direction,baseline_prev_bar,7,precision,0.4667251461988304,0.3562721455021174
28,daily,direction,baseline_prev_bar,7,recall,0.4113960113960114,0.22279553506204755
29,daily,direction,baseline_prev_bar,7,roc_auc,0.40261677320500855,0.11481474542933938
30,daily,direction,mvp_xgboost,1,accuracy,0.5133333333333333,0.13457752825457564
31,daily,direction,mvp_xgboost,1,f1,0.3386361626878868,0.28771104750600446
32,daily,direction,mvp_xgboost,1,precision,0.43285714285714283,0.26262023485463193
33,daily,direction,mvp_xgboost,1,recall,0.34316239316239316,0.3440356739687166
34,daily,direction,mvp_xgboost,1,roc_auc,0.5687654051028664,0.12282671187513726
35,daily,direction,mvp_xgboost,3,accuracy,0.42000000000000004,0.14643921757659195
36,daily,direction,mvp_xgboost,3,f1,0.3783653795222205,0.21790480841885504
37,daily,direction,mvp_xgboost,3,precision,0.3988888888888889,0.2666782404895781
38,daily,direction,mvp_xgboost,3,recall,0.4325274725274726,0.30738760423021616
39,daily,direction,mvp_xgboost,3,roc_auc,0.6180758744523451,0.10054446384392983
40,daily,direction,mvp_xgboost,7,accuracy,0.45999999999999996,0.2203532517471788
41,daily,direction,mvp_xgboost,7,f1,0.3942274377165484,0.21391585391660412
42,daily,direction,mvp_xgboost,7,precision,0.608735632183908,0.2977539561739326
43,daily,direction,mvp_xgboost,7,recall,0.479985754985755,0.44097497422211585
44,daily,direction,mvp_xgboost,7,roc_auc,0.646424671914868,0.20022754665506312
45,daily,interval,mvp_xgboost_quantile,1,coverage,0.62,0.22924998485399203
46,daily,interval,mvp_xgboost_quantile,1,interval_width,0.01931174602359533,0.005301714881057786
47,daily,interval,mvp_xgboost_quantile,3,coverage,0.6133333333333333,0.2609810550808452
