branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,477,-0.00013193380191184052,-1.0401660942729507,0.02815829528158295
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,4549,-0.00012438214860623612,-0.9806288596115657,0.2941400304414003
hourly,2,0.55,0.45,799,-0.00013047522350716846,-1.028666662130516,0.050101471334348044
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,5033,4.1991725512671646e-05,0.33106276394190326,0.32508878741755454
hourly,4,0.55,0.45,481,-6.805857800697847e-05,-0.5365738290070182,0.029553526128868593
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,328,-0.0008833218999508996,-0.29061290508384596,0.4316109422492401
daily,1,0.55,0.45,328,-0.0008833218999508996,-0.29061290508384596,0.4316109422492401
daily,1,0.58,0.42,327,-0.0008355070335696174,-0.27488181404440415,0.4316109422492401
daily,3,0.52,0.48,139,0.0017608167433321791,0.5793087085562869,0.25227963525835867
daily,3,0.55,0.45,0,0.0,0.0,0.0
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,133,0.0043007631323113485,1.4149510705304338,0.24924012158054712
daily,7,0.55,0.45,3,-0.00022941035714379914,-0.07547600750030992,0.00303951367781155
daily,7,0.58,0.42,0,0.0,0.0,0.0
