branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,45,-4.3938815879407925e-06,-0.03464136243932521,0.002917300862506342
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,1,-1.6896855213603373e-06,-0.0133214806504049,0.0
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,0,0.0,0.0,0.0
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,117,-0.0008395072825953255,-0.2761978959738621,0.1458966565349544
daily,1,0.55,0.45,0,0.0,0.0,0.0
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,231,-3.2600413967460855e-05,-0.010725536195294622,0.3495440729483283
daily,3,0.55,0.45,35,-0.0004901744659952491,-0.16126739931243697,0.0486322188449848
daily,3,0.58,0.42,1,-9.086510274793831e-05,-0.029894618804071703,0.0
daily,7,0.52,0.48,328,0.004576083171157983,1.5055313633109764,0.574468085106383
daily,7,0.55,0.45,154,0.0025494730208934177,0.8387766238739345,0.2917933130699088
daily,7,0.58,0.42,0,0.0,0.0,0.0
